penalty_set,session_id,adversarial,final_trust,mfa_triggers,restrict_hits,block_hits
Set A (α=0.03),0,TRUE,0.14,7,7,11
Set A (α=0.03),1,TRUE,0.19,9,9,8
Set A (α=0.03),2,TRUE,0.42,8,8,0
Set A (α=0.03),3,TRUE,0.11,11,11,7
Set A (α=0.03),4,TRUE,0.23,15,15,1
Set A (α=0.03),5,TRUE,0.44,13,13,0
Set A (α=0.03),6,TRUE,0.5,4,4,0
Set A (α=0.03),7,TRUE,0.84,0,0,0
Set A (α=0.03),8,TRUE,0.39,17,17,0
Set A (α=0.03),9,TRUE,0.44,4,4,0
Set A (α=0.03),10,TRUE,0.55,18,18,0
Set A (α=0.03),11,TRUE,0.29,13,13,1
Set A (α=0.03),12,TRUE,0.4,16,16,2
Set A (α=0.03),13,TRUE,0.43,16,16,0
Set A (α=0.03),14,TRUE,0.61,0,0,0
Set A (α=0.03),15,TRUE,0.48,8,8,0
Set A (α=0.03),16,TRUE,0.42,12,12,0
Set A (α=0.03),17,TRUE,0.31,10,10,2
Set A (α=0.03),18,TRUE,0.22,12,12,2
Set A (α=0.03),19,TRUE,0.41,13,13,0
Set A (α=0.03),20,TRUE,0.07,7,7,12
Set A (α=0.03),21,TRUE,0.29,16,16,2
Set A (α=0.03),22,TRUE,0.65,8,8,0
Set A (α=0.03),23,TRUE,0.74,0,0,0
Set A (α=0.03),24,TRUE,0.81,1,1,0
Set A (α=0.03),25,TRUE,0.4,11,11,1
Set A (α=0.03),26,TRUE,0.35,13,13,0
Set A (α=0.03),27,TRUE,0.92,0,0,0
Set A (α=0.03),28,TRUE,0.17,8,8,8
Set A (α=0.03),29,TRUE,0.81,0,0,0
Set A (α=0.03),30,TRUE,0.56,9,9,0
Set A (α=0.03),31,TRUE,0.41,16,16,0
Set A (α=0.03),32,TRUE,0.06,7,7,9
Set A (α=0.03),33,TRUE,0.36,15,15,0
Set A (α=0.03),34,TRUE,0.85,0,0,0
Set A (α=0.03),35,TRUE,0.56,7,7,0
Set A (α=0.03),36,TRUE,0.49,7,7,0
Set A (α=0.03),37,TRUE,1,0,0,0
Set A (α=0.03),38,TRUE,0.34,9,9,4
Set A (α=0.03),39,TRUE,0.29,10,10,5
Set A (α=0.03),40,TRUE,0.69,0,0,0
Set A (α=0.03),41,TRUE,0.76,3,3,0
Set A (α=0.03),42,TRUE,0.17,4,4,12
Set A (α=0.03),43,TRUE,0,9,9,6
Set A (α=0.03),44,TRUE,0.92,0,0,0
Set A (α=0.03),45,TRUE,0.45,18,18,1
Set A (α=0.03),46,TRUE,0.85,0,0,0
Set A (α=0.03),47,TRUE,0.74,0,0,0
Set A (α=0.03),48,TRUE,0.6,13,13,0
Set A (α=0.03),49,TRUE,0.62,2,2,0
Set A (α=0.03),50,TRUE,0.85,0,0,0
Set A (α=0.03),51,TRUE,0.86,0,0,0
Set A (α=0.03),52,TRUE,0.6,10,10,0
Set A (α=0.03),53,TRUE,0.5,15,15,0
Set A (α=0.03),54,TRUE,0.24,13,13,4
Set A (α=0.03),55,TRUE,0.64,3,3,0
Set A (α=0.03),56,TRUE,0.37,7,7,0
Set A (α=0.03),57,TRUE,0.53,12,12,0
Set A (α=0.03),58,TRUE,0.42,13,13,0
Set A (α=0.03),59,TRUE,0.53,4,4,0
Set A (α=0.03),60,TRUE,0.64,6,6,0
Set A (α=0.03),61,TRUE,0.36,16,16,0
Set A (α=0.03),62,TRUE,0,9,9,9
Set A (α=0.03),63,TRUE,0.12,6,6,13
Set A (α=0.03),64,TRUE,1,0,0,0
Set A (α=0.03),65,TRUE,0.67,8,8,0
Set A (α=0.03),66,TRUE,0.8,0,0,0
Set A (α=0.03),67,TRUE,0.46,15,15,0
Set A (α=0.03),68,TRUE,0.62,0,0,0
Set A (α=0.03),69,TRUE,0.24,9,9,2
Set A (α=0.03),70,FALSE,1,0,0,0
Set A (α=0.03),71,FALSE,1,0,0,0
Set A (α=0.03),72,FALSE,1,0,0,0
Set A (α=0.03),73,FALSE,1,0,0,0
Set A (α=0.03),74,FALSE,1,0,0,0
Set A (α=0.03),75,FALSE,1,0,0,0
Set A (α=0.03),76,FALSE,1,0,0,0
Set A (α=0.03),77,FALSE,1,0,0,0
Set A (α=0.03),78,FALSE,1,0,0,0
Set A (α=0.03),79,FALSE,1,0,0,0
Set A (α=0.03),80,FALSE,1,0,0,0
Set A (α=0.03),81,FALSE,1,0,0,0
Set A (α=0.03),82,FALSE,1,0,0,0
Set A (α=0.03),83,FALSE,1,0,0,0
Set A (α=0.03),84,FALSE,1,0,0,0
Set A (α=0.03),85,FALSE,1,0,0,0
Set A (α=0.03),86,FALSE,1,0,0,0
Set A (α=0.03),87,FALSE,1,0,0,0
Set A (α=0.03),88,FALSE,1,0,0,0
Set A (α=0.03),89,FALSE,1,0,0,0
Set A (α=0.03),90,FALSE,1,0,0,0
Set A (α=0.03),91,FALSE,1,0,0,0
Set A (α=0.03),92,FALSE,1,0,0,0
Set A (α=0.03),93,FALSE,1,0,0,0
Set A (α=0.03),94,FALSE,1,0,0,0
Set A (α=0.03),95,FALSE,1,0,0,0
Set A (α=0.03),96,FALSE,1,0,0,0
Set A (α=0.03),97,FALSE,1,0,0,0
Set A (α=0.03),98,FALSE,1,0,0,0
Set A (α=0.03),99,FALSE,0.94,0,0,0
Set A (α=0.03),100,FALSE,1,0,0,0
Set A (α=0.03),101,FALSE,1,0,0,0
Set A (α=0.03),102,FALSE,1,0,0,0
Set A (α=0.03),103,FALSE,1,0,0,0
Set A (α=0.03),104,FALSE,1,0,0,0
Set A (α=0.03),105,FALSE,1,0,0,0
Set A (α=0.03),106,FALSE,1,0,0,0
Set A (α=0.03),107,FALSE,1,0,0,0
Set A (α=0.03),108,FALSE,1,0,0,0
Set A (α=0.03),109,FALSE,1,0,0,0
Set A (α=0.03),110,FALSE,1,0,0,0
Set A (α=0.03),111,FALSE,1,0,0,0
Set A (α=0.03),112,FALSE,1,0,0,0
Set A (α=0.03),113,FALSE,1,0,0,0
Set A (α=0.03),114,FALSE,1,0,0,0
Set A (α=0.03),115,FALSE,1,0,0,0
Set A (α=0.03),116,FALSE,1,0,0,0
Set A (α=0.03),117,FALSE,1,0,0,0
Set A (α=0.03),118,FALSE,1,0,0,0
Set A (α=0.03),119,FALSE,1,0,0,0
Set A (α=0.03),120,FALSE,1,0,0,0
Set A (α=0.03),121,FALSE,1,0,0,0
